,statement,label,SentimentScore,CountPunc,Readability,CountWord
0,Says the Annies List political group supports third-trimester abortions on demand.,0,0.25,2,14.9,11
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,1,0.3612,5,7.7,24
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",1,0.3182,3,9.6,19
3,Health care reform legislation is likely to mandate free sex change surgeries.,0,0.7579,1,10.9,12
4,The economic turnaround started at the end of my term.,1,0.0,1,4.8,10
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,1,-0.5106,3,14.6,27
6,Jim Dunnam has not lived in the district he represents for years now.,0,0.0,1,5.7,13
7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",1,0.25,4,15.3,27
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",1,0.0,5,15.0,23
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,1,0.0,2,14.2,21
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",1,0.6124,2,10.6,21
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",1,-0.5106,2,9.8,16
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0,0.128,3,11.6,22
13,The economy bled $24 billion due to the government shutdown.,1,0.0,2,7.6,10
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0,0.0258,3,10.1,16
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1,0.0,13,16.7,33
16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,1,0.0,6,14.8,19
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",0,0.7184,7,9.9,22
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",1,0.0,3,11.8,22
19,"Almost 100,000 people left Puerto Rico last year.",1,0.0,2,7.3,8
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,0,0.0,1,11.6,20
21,The United States has the highest corporate tax rate in the free world.,1,0.7269,1,6.5,13
22,We just had the best year for the auto industry in America in history.,1,0.6369,1,4.7,14
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",1,0.5719,2,9.8,14
24,Says Mitt Romney wants to get rid of Planned Parenthood.,0,0.0,1,5.7,10
25,I dont know who (Jonathan Gruber) is.,0,0.0,3,2.9,7
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,1,-0.5719,1,12.5,14
27,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,1,0.687,1,13.4,23
28,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",0,0.2732,8,7.0,14
29,Youth unemployment in minority communities is about 40 to 45 percent.,1,-0.4404,1,9.3,11
30,Says Paul Ryan is still endorsing Trump.,1,0.0,1,5.0,7
31,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0,0.4927,2,12.0,24
32,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0,0.0,3,15.2,32
33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,1,-0.2033,1,6.9,16
34,Says Mark Pryor votes with Obama 93 percent of the time.,1,0.0,1,3.8,11
35,We have a federal government that thinks they have the authority to regulate our toilet seats.,1,0.0772,1,9.8,16
36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1,0.0,1,6.9,19
