,statement,label,id
0,Says the Annies List political group supports third-trimester abortions on demand.,0,880
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,1,881
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",1,882
3,Health care reform legislation is likely to mandate free sex change surgeries.,0,883
4,The economic turnaround started at the end of my term.,1,884
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,1,885
6,Jim Dunnam has not lived in the district he represents for years now.,0,886
7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",1,887
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",1,888
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,1,889
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",1,890
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",1,891
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0,892
13,The economy bled $24 billion due to the government shutdown.,1,893
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0,894
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1,895
16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,1,896
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",0,897
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",1,898
19,"Almost 100,000 people left Puerto Rico last year.",1,899
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,0,900
21,The United States has the highest corporate tax rate in the free world.,1,901
22,We just had the best year for the auto industry in America in history.,1,902
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",1,903
24,Says Mitt Romney wants to get rid of Planned Parenthood.,0,904
25,I dont know who (Jonathan Gruber) is.,0,905
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,1,906
27,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,1,907
28,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",0,908
29,Youth unemployment in minority communities is about 40 to 45 percent.,1,909
30,Says Paul Ryan is still endorsing Trump.,1,910
31,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0,911
32,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0,912
33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,1,913
34,Says Mark Pryor votes with Obama 93 percent of the time.,1,914
35,We have a federal government that thinks they have the authority to regulate our toilet seats.,1,915
36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1,916
37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1,917
38,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",0,918
39,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",1,919
40,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0,920
41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,1,921
42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0,922
43,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0,923
44,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0,924
45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,1,925
46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",0,926
47,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0,927
48,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,0,928
49,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,1,929
50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0,930
51,"Maggie Hassan raised tuition, making it the highest in America.",0,931
52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0,932
53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1,933
54,"We have towns in West Texas that are out of water, that are having to truck in water.",0,934
55,"In Georgia, women earn 82 cents for every dollar earned by men.",1,935
56,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1,936
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0,937
58,Sen. Obama's campaign announced that he's choosing his cabinet.,0,938
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1,939
60,Only 2 percent of public high schools in the country offer PE classes.,0,940
61,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",1,941
62,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",1,942
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",1,943
64,"Under Mayor Cicilline, [Providence] was a sanctuary city.",0,944
65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,0,945
66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",1,946
67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0,947
68,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,0,948
69,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,0,949
70,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1,950
71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0,951
72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1,952
73,The only time in our history when the debt has been higher than this was the end of World War II.,1,953
74,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,1,954
75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1,955
76,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0,956
77,Says one out of three U.S. homeless men is a veteran.,0,957
78,Says Charlie Crist supports cuts to the Medicare Advantage program.,0,958
79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,1,959
80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,1,960
81,"At some point in their lives, 99% of women use birth control.",1,961
82,"In the past 20 years, Egypt has made great strides in political and democratic reform.",0,962
83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0,963
84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,1,964
85,"In Rick Perrys Texas, we import nurses ... from other countries.",1,965
86,There is a federal criminal law that says its a crime to transport dentures across state lines.,1,966
87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,1,967
88,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",0,968
89,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,0,969
90,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",0,970
91,I belong to the AFL-CIO.,1,971
92,The insurance commissioner cant do squat about health care.,1,972
93,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,1,973
94,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",0,974
95,Says David Jolly supports privatizing Social Security.,0,975
96,Did you know US population growth is at its lowest since the Great Depression?,1,976
97,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",1,977
98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",1,978
99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,1,979
100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,0,980
101,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",0,981
102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",1,982
103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",1,983
104,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0,984
105,Sen. Obama has always had a 100 percent prochoice rating.,1,985
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",1,986
107,The (federal) debt is growing by more than $4 billion a day.,1,987
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",1,988
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",0,989
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,1,990
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",1,991
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",1,992
113,Says Obama promised unemployment would never go above 8 percent.,0,993
114,The economy is creating jobs at the fastest pace since 1999.,1,994
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,1,995
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.",1,996
