,statement,label,id
0,We have less Americans working now than in the 70s.,0,880
1,"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",0,881
2,Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,0,882
3,Says nearly half of Oregons children are poor.,1,883
4,"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""",1,884
5,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",0,885
6,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,1,886
7,"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.",0,887
8,Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,1,888
9,Bill White has a long history of trying to limit or even disenfranchise military voters.,1,889
10,John McCains chief economic adviser during the 08 race estimated that Trumps promises would cause America to lose 3.5 million jobs.,1,890
11,"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.",0,891
12,State revenue projections have missed the mark month after month.,1,892
13,"The median income of a middle class family went down $2,100 from 2001 to 2007.",1,893
14,"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.",0,894
15,"Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.",1,895
16,Two thirds to three quarters of people without [health] insurance in Rhode Island work.,1,896
17,Congress has spent 66 of the first 100 days of this term in recess.,1,897
18,Mark Sharpe has lowered property taxes by 17 percent.,0,898
19,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,0,899
20,"If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.",1,900
21,Says President Barack Obama has said that everybody should hate the police.,0,901
22,Georgia has had ʺmore bank failures than any other state.ʺ,1,902
23,"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",0,903
24,Thom Tillis cut almost $500 million from education.,1,904
25,"If people work and make more money, they lose more in benefits than they would earn in salary.",0,905
26,"We are poised to get rid of over 1,000 more regulations in 2012.",1,906
27,A flight from Atlanta to Houston was canceled due to a terrorist dry run.,0,907
28,"Administrative employees at colleges and universitieshave more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.",1,908
29,Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders.,0,909
30,Amendment 1 protects Florida seniors from scams and rip-offs.,0,910
31,"If Barack Obama would apply for a job with the FBI or with the Secret Service, he would be disqualified because of his past associations with William Ayers.",0,911
32,We have more kids take the SAT than any other state in the nation. I mean a high percentage of our kids take the SAT.,0,912
33,Walker says hes for lower taxes. But Milwaukee County spending has gone up by $349 million.,0,913
34,Says he did not say Republicans would filibuster immigration reform.,0,914
35,"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.",1,915
36,"In the month of January, Canada created more new jobs than we did.",1,916
37,"Under his leadership, more people in Wisconsin have access to health care.",1,917
38,"Charlie Crist attacks me for positions he held, like, six months ago, (when) he was running in the Republican primary.",0,918
39,Says Donald Trumps only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.,1,919
40,The loan guarantee program that helped Solyndra was a program that was supported by President Bush.,1,920
41,Says President Obama just granted all of Congress an exception to Obamacare.,0,921
42,"Bill McCollumhas ""recovered $200 million in Medicaid fraud.""",1,922
43,"Despite the U.S. spending $10 billion on Iraqs electrical system, Baghdad still only gets five hours of electricity a day.",0,923
44,Tim Kaine urged$500 billion in Medicare cuts.,0,924
45,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",1,925
46,"Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.",1,926
47,"Says that In 2009, I saved ratepayers around $500 million by persuading the Council to pursue a less expensive compliance mechanism if the City is required to treat Bull Run drinking water.",1,927
48,"The military has spent $500 million enforcing the Dont Ask, Dont Tell policy regarding gays and lesbians in the military.",1,928
49,"Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio.",1,929
50,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",0,930
51,"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.",1,931
52,"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.",1,932
53,"The federal government is going after school districts, trying to force them to let boys shower with little girls.",0,933
54,Says that President Obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coal-fired power plant.,1,934
55,There has been $5 trillion in debt added over the last four years.,1,935
56,"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.",1,936
57,"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",0,937
58,"Nobody covered the remarks of Patricia Smith, the mother of a Benghazi victim, live, but almost everybody covered KhizrKhans, Mr. Khans remarks live.",0,938
59,The cost of the food stamp program is at an all-time high.,1,939
60,Says opponent Mary Burke says she supports Obamacare unequivocally and wants to expand it.,1,940
61,Says Essex County residents suffer the second highest property taxes in the nation.,1,941
62,Ken Lanci is a lifelong Clevelander,1,942
63,"Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan.",0,943
64,"Says Carlos Lopez-Cantera even voiced enthusiastic support for bringing an Arizona-style immigration law to Florida, calling the measure common sense.",0,944
65,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",0,945
66,"The CBOs latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs.",0,946
67,The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,0,947
68,Says Wisconsin Gov. Scott Walker slashed pensions and benefits for public employees.,1,948
69,Adding ethanol to gas raises food costs.,1,949
70,Says Mitt Romney once supported President Obamas health care plan but now opposes it.,0,950
71,"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.",0,951
72,"The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. As did other Governors before. We simply dont do that, havent done it, and wont permit it.",0,952
73,You can import as many hemp products into this country as you want...but we cant grow it.,1,953
74,Says Gina Raimondos venture capital firm secured a secret no-bid contract funded by taxpayers.,0,954
75,We spend more money on antacids than we do on politics.,0,955
76,Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,1,956
77,Social Security is a Ponzi scheme.,0,957
78,Says Pennsylvania charges a top income tax rate of 3 percent and Delaware has no state income tax at all.,1,958
79,Jeff Greene can buy anything ... he owns two mansions.,1,959
80,Says Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.,0,960
81,"Obama says his health care plan is ""universal.""",0,961
82,"Brendan Doherty wants to repeal Obamacare, increasing drug prices for seniors.",0,962
83,Abortion coverage is a standard insurance benefit in nearly 90 percent of private plans sold in the U.S.,0,963
84,"Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.",1,964
85,"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues.",0,965
86,94 percent of winning candidates in 2010 had more money than their opponents.,1,966
87,Barack Obama and Joe Biden oppose new drilling at home and oppose nuclear power.,0,967
88,President Obama went around the world and apologized for America.,0,968
89,"Says the federal agency in charge of Medicare and Medicaid will disburse $803 billion in benefits this year, making it larger than all but 15 of the worlds economies.",1,969
90,"Marco Rubio ""supported $800,000 for AstroTurf for a field where he played flag football.""",1,970
91,"The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.",0,971
92,The dollar has fallen over 44% since Bernanke began pumping money into the system beginning back in 2002.,1,972
93,Congress will begin its recess without having allocated one penny to fight Zika.,1,973
94,I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,0,974
95,The new health care law will cut $500 billion from Medicare. That will hurt the quality of our care.,0,975
96,President Obama once said he wants everybody in America to go to college.,0,976
97,"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",0,977
98,The results of Atlanta Public Schools 2010 and 2011 CRCT tests have not been questioned.,0,978
99,Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.,0,979
