,statement,label,SentimentScore,CountPunc,Readability,CountWord
0,Building a wall on the U.S.-Mexico border will take literally years.,1,0.0,4,8.9,11
1,Wisconsin is on pace to double the number of layoffs this year.,0,0.0772,1,5.0,12
2,Says John McCain has done nothing to help the vets.,0,-0.3089,1,3.4,10
3,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,1,0.34,1,11.5,13
4,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",0,-0.5994,3,5.8,23
5,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,1,0.3818,2,16.1,23
6,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,1,0.3182,7,15.4,27
7,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",0,0.296,3,13.8,18
8,Donald Trump is against marriage equality. He wants to go back.,1,0.0,2,4.0,11
9,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,0,0.0,1,14.6,25
10,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,0,0.0,2,3.5,16
11,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,0,-0.4404,1,11.9,11
12,Denali is the Kenyan word for black power.,0,0.0,1,3.2,8
13,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,0.0,2,12.5,22
14,On residency requirements for public workers,1,0.0,0,12.2,6
15,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,1,-0.4404,3,13.9,16
16,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,0,-0.34,3,17.5,12
17,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,1,-0.25,1,14.0,26
18,"Each year, 18,000 people die in America because they don't have health care.",1,-0.7599,4,8.2,13
19,Ronald Reagan faced an even worse recession than the current one.,0,-0.7096,1,7.6,11
20,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,1,0.5719,1,12.8,24
21,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,1,0.3182,1,9.6,15
22,The number of illegal immigrants could be 3 million. It could be 30 million.,0,-0.5106,2,3.3,14
23,Marijuana is less toxic than alcohol.,1,0.0,1,6.7,6
24,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,0,-0.5859,1,9.1,19
25,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",1,0.3612,3,7.4,14
26,I was gone when there was a red line against Syria.,0,0.0,1,1.6,11
27,"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",1,0.7469,2,10.9,12
28,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",1,0.0,9,18.5,22
29,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,1,-0.4019,1,13.0,18
30,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,0,0.743,1,11.6,23
31,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",0,0.4588,4,13.1,16
32,On which team hes rooting for in the World Series.,1,0.0,1,2.9,10
33,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,1,0.0516,1,8.8,18
34,The United States has a low voter turnout rate.,1,0.1779,1,3.5,9
35,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",1,-0.2382,4,17.3,37
36,"Because of the federal health care law, 300,000 health plans canceled in Florida.",0,0.4939,3,10.1,13
37,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",1,0.0,6,16.1,25
38,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",1,0.25,6,13.3,25
39,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,1,0.4767,2,14.8,25
40,Pre-existing conditions are covered under my (health care) plan.,0,0.0,4,12.4,9
41,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",1,-0.3818,3,17.8,32
42,Says he won the second debate with Hillary Clinton in a landslide in every poll.,0,0.5719,1,6.8,15
43,Says bag litter increased after San Francisco banned single-use shopping bags.,0,-0.2263,2,13.2,11
44,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",1,0.4939,4,6.9,27
45,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",0,0.9153,7,9.5,40
46,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",1,0.0,3,7.1,19
47,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,1,0.2263,1,12.6,26
48,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",0,0.0,3,14.7,24
49,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,0,0.5106,1,18.7,31
50,Says Charlie Crist voted against raising the minimum wage.,1,0.0,1,9.3,9
51,Hillary Clinton said gun confiscation would be worth considering.,0,-0.128,1,12.9,9
52,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",1,0.3724,3,15.2,22
53,"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",1,0.3818,11,13.5,29
54,When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,0,0.0,4,10.7,24
55,Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,1,-0.2732,6,11.8,17
56,Hes the only candidate whos balanced budgets and brought jobs to Providence.,1,0.0,1,10.1,12
57,"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",1,0.3182,2,14.8,28
58,ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,0,0.0,3,13.5,26
59,Sixty percent of the Hispanics support the Arizona immigration law,0,0.4019,0,10.4,10
60,"If the sequester hits, federal prosecutors will have to let criminals go.",0,-0.5719,2,8.9,12
61,Says Dick Cheney de-Baathisized the Iraqi government and created ISIS.,0,-0.3182,2,12.3,10
62,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,1,0.0,1,10.4,10
63,I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,0,-0.0093,2,7.3,30
64,"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",1,-0.128,4,19.4,29
65,The tax cut deal is giving $700 billion to millionaires and billionaires.,0,0.0772,2,8.9,12
