,statement,label,id
0,Building a wall on the U.S.-Mexico border will take literally years.,1,880
1,Wisconsin is on pace to double the number of layoffs this year.,0,881
2,Says John McCain has done nothing to help the vets.,0,882
3,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,1,883
4,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",0,884
5,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,1,885
6,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,1,886
7,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",0,887
8,Donald Trump is against marriage equality. He wants to go back.,1,888
9,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,0,889
10,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,0,890
11,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,0,891
12,Denali is the Kenyan word for black power.,0,892
13,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,893
14,On residency requirements for public workers,1,894
15,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,1,895
16,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,0,896
17,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,1,897
18,"Each year, 18,000 people die in America because they don't have health care.",1,898
19,Ronald Reagan faced an even worse recession than the current one.,0,899
20,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,1,900
21,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,1,901
22,The number of illegal immigrants could be 3 million. It could be 30 million.,0,902
23,Marijuana is less toxic than alcohol.,1,903
24,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,0,904
25,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",1,905
26,I was gone when there was a red line against Syria.,0,906
27,"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",1,907
28,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",1,908
29,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,1,909
30,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,0,910
31,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",0,911
32,On which team hes rooting for in the World Series.,1,912
33,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,1,913
34,The United States has a low voter turnout rate.,1,914
35,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",1,915
36,"Because of the federal health care law, 300,000 health plans canceled in Florida.",0,916
37,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",1,917
38,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",1,918
39,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,1,919
40,Pre-existing conditions are covered under my (health care) plan.,0,920
41,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",1,921
42,Says he won the second debate with Hillary Clinton in a landslide in every poll.,0,922
43,Says bag litter increased after San Francisco banned single-use shopping bags.,0,923
44,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",1,924
45,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",0,925
46,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",1,926
47,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,1,927
48,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",0,928
49,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,0,929
50,Says Charlie Crist voted against raising the minimum wage.,1,930
51,Hillary Clinton said gun confiscation would be worth considering.,0,931
52,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",1,932
53,"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",1,933
54,When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,0,934
55,Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,1,935
56,Hes the only candidate whos balanced budgets and brought jobs to Providence.,1,936
57,"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",1,937
58,ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,0,938
