,statement,label,SentimentScore,CountPunc,Readability,CountWord
0,We have less Americans working now than in the 70s.,0,0.0,1,3.4,10
1,"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",0,0.0,6,13.8,26
2,Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,0,-0.34,1,20.1,32
3,Says nearly half of Oregons children are poor.,1,-0.4767,1,5.6,8
4,"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""",1,-0.4404,5,17.6,33
5,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",0,-0.875,5,12.0,22
6,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,1,0.0,1,11.9,19
7,"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.",0,-0.1779,4,16.1,29
8,Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,1,0.5267,2,19.6,31
9,Bill White has a long history of trying to limit or even disenfranchise military voters.,1,0.0,1,9.3,15
10,John McCains chief economic adviser during the 08 race estimated that Trumps promises would cause America to lose 3.5 million jobs.,1,-0.0258,2,14.0,21
11,"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.",0,0.0,4,8.7,16
12,State revenue projections have missed the mark month after month.,1,-0.296,1,9.9,10
13,"The median income of a middle class family went down $2,100 from 2001 to 2007.",1,0.0,3,6.2,15
14,"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.",0,0.09,2,19.2,35
15,"Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.",1,-0.0516,2,14.9,15
16,Two thirds to three quarters of people without [health] insurance in Rhode Island work.,1,0.0,3,10.5,14
17,Congress has spent 66 of the first 100 days of this term in recess.,1,0.0,1,3.8,14
18,Mark Sharpe has lowered property taxes by 17 percent.,0,-0.128,1,6.6,9
19,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,0,-0.5574,2,7.1,23
20,"If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.",1,0.1531,5,4.8,39
21,Says President Barack Obama has said that everybody should hate the police.,0,-0.5719,1,9.7,12
22,Georgia has had ʺmore bank failures than any other state.ʺ,1,-0.4588,1,6.6,10
23,"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",0,0.8555,2,10.6,18
24,Thom Tillis cut almost $500 million from education.,1,-0.2732,2,8.5,8
25,"If people work and make more money, they lose more in benefits than they would earn in salary.",0,-0.022,2,7.7,18
26,"We are poised to get rid of over 1,000 more regulations in 2012.",1,0.25,2,3.9,13
27,A flight from Atlanta to Houston was canceled due to a terrorist dry run.,0,-0.6908,1,5.8,14
28,"Administrative employees at colleges and universitieshave more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.",1,0.3818,2,15.4,25
29,Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders.,0,-0.4588,6,11.9,20
30,Amendment 1 protects Florida seniors from scams and rip-offs.,0,-0.3612,2,10.8,9
31,"If Barack Obama would apply for a job with the FBI or with the Secret Service, he would be disqualified because of his past associations with William Ayers.",0,-0.4215,2,14.3,28
32,We have more kids take the SAT than any other state in the nation. I mean a high percentage of our kids take the SAT.,0,0.0,2,2.3,25
33,Walker says hes for lower taxes. But Milwaukee County spending has gone up by $349 million.,0,-0.1531,3,4.9,16
34,Says he did not say Republicans would filibuster immigration reform.,0,0.0,1,11.4,10
35,"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.",1,-0.5267,6,15.5,24
36,"In the month of January, Canada created more new jobs than we did.",1,0.25,2,4.6,13
37,"Under his leadership, more people in Wisconsin have access to health care.",1,0.4939,2,9.3,12
38,"Charlie Crist attacks me for positions he held, like, six months ago, (when) he was running in the Republican primary.",0,-0.1027,6,11.9,20
39,Says Donald Trumps only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.,1,-0.1027,1,12.4,24
40,The loan guarantee program that helped Solyndra was a program that was supported by President Bush.,1,0.5106,1,11.3,16
41,Says President Obama just granted all of Congress an exception to Obamacare.,0,0.25,1,10.1,12
42,"Bill McCollumhas ""recovered $200 million in Medicaid fraud.""",1,0.0,4,13.8,8
43,"Despite the U.S. spending $10 billion on Iraqs electrical system, Baghdad still only gets five hours of electricity a day.",0,0.0,5,12.8,20
44,Tim Kaine urged$500 billion in Medicare cuts.,0,-0.296,2,8.3,7
45,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",1,0.3102,3,15.4,25
46,"Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.",1,0.0,2,11.9,20
47,"Says that In 2009, I saved ratepayers around $500 million by persuading the Council to pursue a less expensive compliance mechanism if the City is required to treat Bull Run drinking water.",1,0.6705,3,17.8,32
48,"The military has spent $500 million enforcing the Dont Ask, Dont Tell policy regarding gays and lesbians in the military.",1,0.0,3,12.6,20
49,"Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio.",1,0.6124,8,8.2,29
50,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",0,-0.3818,2,16.7,31
51,"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.",1,0.0,3,9.5,17
52,"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.",1,0.25,6,14.3,18
53,"The federal government is going after school districts, trying to force them to let boys shower with little girls.",0,0.0,2,11.9,19
54,Says that President Obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coal-fired power plant.,1,-0.5574,2,15.4,25
55,There has been $5 trillion in debt added over the last four years.,1,-0.3612,2,4.6,13
56,"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.",1,0.1027,3,10.7,29
57,"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",0,0.5859,9,21.0,37
58,"Nobody covered the remarks of Patricia Smith, the mother of a Benghazi victim, live, but almost everybody covered KhizrKhans, Mr. Khans remarks live.",0,-0.1406,6,10.3,23
59,The cost of the food stamp program is at an all-time high.,1,0.0,2,3.0,12
60,Says opponent Mary Burke says she supports Obamacare unequivocally and wants to expand it.,1,0.5859,1,11.5,14
61,Says Essex County residents suffer the second highest property taxes in the nation.,1,-0.5423,1,10.8,13
62,Ken Lanci is a lifelong Clevelander,1,0.0,0,5.1,6
63,"Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan.",0,0.8176,4,6.4,29
64,"Says Carlos Lopez-Cantera even voiced enthusiastic support for bringing an Arizona-style immigration law to Florida, calling the measure common sense.",0,0.7096,4,19.4,20
65,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",0,-0.5423,7,23.1,44
66,"The CBOs latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs.",0,-0.4019,3,11.2,23
67,The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,0,0.6249,3,10.8,14
68,Says Wisconsin Gov. Scott Walker slashed pensions and benefits for public employees.,1,0.1779,2,10.2,12
69,Adding ethanol to gas raises food costs.,1,0.0,1,5.0,7
70,Says Mitt Romney once supported President Obamas health care plan but now opposes it.,0,0.4118,1,9.8,14
71,"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.",0,0.0,2,19.1,35
72,"The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. As did other Governors before. We simply dont do that, havent done it, and wont permit it.",0,-0.4215,7,6.6,36
73,You can import as many hemp products into this country as you want...but we cant grow it.,1,0.0,4,7.3,17
74,Says Gina Raimondos venture capital firm secured a secret no-bid contract funded by taxpayers.,0,0.4019,2,12.8,14
75,We spend more money on antacids than we do on politics.,0,0.0,1,3.3,11
76,Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,1,-0.128,1,10.7,16
77,Social Security is a Ponzi scheme.,0,0.34,1,4.3,6
78,Says Pennsylvania charges a top income tax rate of 3 percent and Delaware has no state income tax at all.,1,-0.3612,1,8.8,20
79,Jeff Greene can buy anything ... he owns two mansions.,1,0.0,4,6.6,10
80,Says Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.,0,-0.3182,1,8.1,15
81,"Obama says his health care plan is ""universal.""",0,0.4939,3,6.1,8
82,"Brendan Doherty wants to repeal Obamacare, increasing drug prices for seniors.",0,0.0,2,13.2,11
83,Abortion coverage is a standard insurance benefit in nearly 90 percent of private plans sold in the U.S.,0,0.4588,2,10.3,18
84,"Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.",1,-0.6705,3,7.1,15
85,"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues.",0,-0.0772,3,14.0,22
86,94 percent of winning candidates in 2010 had more money than their opponents.,1,0.5267,1,8.6,13
87,Barack Obama and Joe Biden oppose new drilling at home and oppose nuclear power.,0,0.0,1,8.1,14
88,President Obama went around the world and apologized for America.,0,0.3182,1,9.9,10
89,"Says the federal agency in charge of Medicare and Medicaid will disburse $803 billion in benefits this year, making it larger than all but 15 of the worlds economies.",1,0.2023,3,15.5,29
90,"Marco Rubio ""supported $800,000 for AstroTurf for a field where he played flag football.""",1,0.5719,5,11.1,14
91,"The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.",0,-0.2732,2,12.7,25
92,The dollar has fallen over 44% since Bernanke began pumping money into the system beginning back in 2002.,1,-0.3612,2,10.6,18
93,Congress will begin its recess without having allocated one penny to fight Zika.,1,-0.3818,1,9.7,13
94,I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,0,-0.4588,1,7.9,23
95,The new health care law will cut $500 billion from Medicare. That will hurt the quality of our care.,0,0.2263,3,3.7,19
96,President Obama once said he wants everybody in America to go to college.,0,0.0,1,7.2,13
97,"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",0,0.0,4,13.4,22
98,The results of Atlanta Public Schools 2010 and 2011 CRCT tests have not been questioned.,0,0.0762,1,9.3,15
99,Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.,0,0.0,3,10.1,13
100,"The delay inschool testingwas not that of a vendor, the problem was not that of the test materials itself,it was the product of a cyber attack.",0,-0.7964,3,13.0,26
101,"Democrats already agreed to a deal that Republicans wanted, that Eric Cantor said would be a win.",1,0.7096,2,9.5,17
102,One of the main functions of the Department of Homeland Securitys SAVE database is checking voter registration citizenship status.,0,0.6037,1,15.8,19
103,"Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",1,0.8126,4,19.8,36
104,"The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.",1,-0.8304,10,21.6,39
105,Barack Obama is the First President to terminate Americas ability to put a man in space.,0,0.3182,1,8.0,16
106,Says George Washington said a free people should be armed to guard against government tyranny.,0,0.5106,1,11.2,15
107,"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",1,-0.3744,7,20.8,28
108,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,1,0.0,3,11.8,25
109,"Says for every dollar the state spent on audits last year, it delivered $64 in cost savings.",1,0.0,3,8.1,17
110,"When I was governor, not only did test scores improve we also narrowed the achievement gap.",1,0.4404,2,8.9,16
111,Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps.,1,0.4939,3,17.5,20
112,Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,1,-0.4585,3,8.1,15
113,"40 percent of illegal immigrants had a visa and then became illegal, mostly because they changed jobs.",1,-0.802,2,10.9,17
114,Says Ted Cruz slurred Republican senators including John Cornyn as graybeards and spineless jellyfish.,1,0.0,1,15.5,14
115,Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans.,0,-0.25,1,10.8,13
116,"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.",1,0.7003,5,21.1,31
117,"U.S. Rep. John Barrow, D-Ga., does not want to audit the Federal Reserve.",0,-0.0572,8,7.2,13
118,This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.,0,0.7184,3,21.9,31
119,I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that.,1,-0.296,3,4.6,26
120,"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.",1,-0.872,6,15.5,22
121,Says Gov. Scott Walker approved a gutting of two tax credits that help the poor and elderly.,0,0.5994,2,8.1,17
122,Ken Bucks (District Attorneys) office? His spending skyrocketed by 40 percent.,1,0.0,4,10.4,11
123,"The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.",0,0.0,3,15.9,20
124,"McCain ""said he was 'stumped' when asked whether contraceptives help stop the spread of HIV.""",1,0.128,5,10.9,15
125,Says most Texas schools spend 45 out of 180 school days in mandated testing.,0,0.0,1,6.8,14
126,Tell me what Madeleine Albrights position was on the War on Iraq. I wouldnt be surprised if she supported it.,0,-0.505,2,4.8,20
127,On the propriety of budget reconciliation.,1,0.0,1,10.6,6
128,We were the last flag flying in Benghazi.,0,0.0,1,2.6,8
129,Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.,1,0.4404,4,15.9,17
130,The American people will not support doing anything about people that are in this country illegally until the law is enforced first.,0,-0.3089,1,13.4,22
131,The cost for renovating the headquarters of the U.N. has doubled from the original estimate.,1,0.3182,3,10.6,15
132,"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.",1,0.0,3,13.4,27
133,There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,1,0.0,2,8.0,22
